Material Type,Route,Energy Use (kWh),Energy Source,Recycled Content (%),Transport Mode,Distance (km),Quantity (kg),End-of-Life Option,CO2 Emissions (kg),SOx Emissions (kg),NOx Emissions (kg),Water Use (L),Energy Intensity (kWh/kg)
Aluminium,Recycled,18,Solar,75,Road,120,58,Recycle,,,,,
Copper,Raw Material,35,Coal,15,Rail,340,62,Landfill,,,,,
Nickel,Recycled,25,Wind,60,Ship,210,39,Reuse,,,,,
Zinc,Raw Material,28,Gas,10,Air,500,47,Recycle,,,,,
Lead,Recycled,16,Hydro,80,Road,95,55,Incinerate,,,,,
Titanium,Raw Material,40,Solar,12,Rail,620,44,Recycle,,,,,
Magnesium,Recycled,20,Wind,70,Ship,140,36,Landfill,,,,,
Chromium,Raw Material,30,Coal,5,Road,280,52,Reuse,,,,,
Manganese,Recycled,23,Hydro,65,Ship,190,41,Recycle,,,,,
Steel,Raw Material,22,Hydro,21,Ship,76,43,Incinerate,,,,,
Aluminium,Recycled,18,Solar,75,Road,120,58,Recycle,,,,,
Copper,Raw Material,35,Coal,15,Rail,340,62,Landfill,,,,,
Nickel,Recycled,25,Wind,60,Ship,210,39,Reuse,,,,,
Zinc,Raw Material,28,Gas,10,Air,500,47,Recycle,,,,,
Lead,Recycled,16,Hydro,80,Road,95,55,Incinerate,,,,,
Titanium,Raw Material,40,Solar,12,Rail,620,44,Recycle,,,,,
Magnesium,Recycled,20,Wind,70,Ship,140,36,Landfill,,,,,
Chromium,Raw Material,30,Coal,5,Road,280,52,Reuse,,,,,
Manganese,Recycled,23,Hydro,65,Ship,190,41,Recycle,,,,,
Steel,Raw Material,22,Hydro,21,Ship,76,43,Incinerate,,,,,
Aluminium,Recycled,18,Solar,75,Road,120,58,Recycle,,,,,
Copper,Raw Material,35,Coal,15,Rail,340,62,Landfill,,,,,
Nickel,Recycled,25,Wind,60,Ship,210,39,Reuse,,,,,
Zinc,Raw Material,28,Gas,10,Air,500,47,Recycle,,,,,
Lead,Recycled,16,Hydro,80,Road,95,55,Incinerate,,,,,
Titanium,Raw Material,40,Solar,12,Rail,620,44,Recycle,,,,,
Magnesium,Recycled,20,Wind,70,Ship,140,36,Landfill,,,,,
Chromium,Raw Material,30,Coal,5,Road,280,52,Reuse,,,,,
Manganese,Recycled,23,Hydro,65,Ship,190,41,Recycle,,,,,
Steel,Raw Material,22,Hydro,21,Ship,76,43,Incinerate,,,,,
Aluminium,Recycled,18,Solar,75,Road,120,58,Recycle,,,,,
Copper,Raw Material,35,Coal,15,Rail,340,62,Landfill,,,,,
Nickel,Recycled,25,Wind,60,Ship,210,39,Reuse,,,,,
Zinc,Raw Material,28,Gas,10,Air,500,47,Recycle,,,,,
Lead,Recycled,16,Hydro,80,Road,95,55,Incinerate,,,,,
Titanium,Raw Material,40,Solar,12,Rail,620,44,Recycle,,,,,
Magnesium,Recycled,20,Wind,70,Ship,140,36,Landfill,,,,,
Chromium,Raw Material,30,Coal,5,Road,280,52,Reuse,,,,,
Manganese,Recycled,23,Hydro,65,Ship,190,41,Recycle,,,,,
